"volcano_number" "volcano_name" "eruption_number" "eruption_category" "area_of_activity" "vei" "start_year" "start_month" "start_day" "evidence_method_dating" "end_year" "end_month" "end_day" "latitude" "longitude" "start_date" "end_date" "eruption_length_in_days"
"115" 261170 "Kerinci" 22172 "Confirmed Eruption" NA "1" 2016 11 15 "Historical Observations" 2016 11 21 -1.697 101.264 2016-11-15 2016-11-21 6
"116" 354006 "Sabancaya" 22158 "Confirmed Eruption" NA "3" 2016 11 6 "Historical Observations" 2020 4 17 -15.787 -71.857 2016-11-06 2020-04-17 1258
"117" 290380 "Ebeko" 22176 "Confirmed Eruption" NA "2" 2016 10 20 "Historical Observations" 2020 4 17 50.686 156.014 2016-10-20 2020-04-17 1275
"118" 252120 "Ulawun" 22171 "Confirmed Eruption" NA "1" 2016 10 11 "Historical Observations" 2016 11 18 -5.05 151.33 2016-10-11 2016-11-18 38
"119" 282110 "Asosan" 22174 "Confirmed Eruption" NA "3" 2016 10 7 "Historical Observations" 2016 11 12 32.884 131.104 2016-10-07 2016-11-12 36
"120" 300130 "Karymsky" 22178 "Confirmed Eruption" NA "2" 2016 10 5 "Historical Observations" 2016 10 8 54.049 159.443 2016-10-05 2016-10-08 3
"121" 222120 "Lengai, Ol Doinyo" 22305 "Confirmed Eruption" "North Crater" NA 2016 9 21 "Historical Observations" 2016 10 13 -2.764 35.914 2016-09-21 2016-10-13 22
"122" 241040 "Whakaari/White Island" 22147 "Confirmed Eruption" "2012 lava dome" "1" 2016 9 13 "Historical Observations" 2016 9 13 -37.52 177.18 2016-09-13 2016-09-13 0
"123" 354020 "Ubinas" 22181 "Confirmed Eruption" NA "2" 2016 9 13 "Historical Observations" 2017 3 2 -16.355 -70.903 2016-09-13 2017-03-02 170
"124" 233020 "Fournaise, Piton de la" 22145 "Confirmed Eruption" NA "0" 2016 9 11 "Historical Observations" 2016 9 18 -21.244 55.708 2016-09-11 2016-09-18 7
"125" 268060 "Gamalama" 22150 "Confirmed Eruption" NA "1" 2016 8 3 "Historical Observations" 2016 8 4 0.8 127.33 2016-08-03 2016-08-04 1
"126" 264030 "Rinjani" 22149 "Confirmed Eruption" "Barujari Crater" "2" 2016 8 1 "Historical Observations" 2016 9 27 -8.42 116.47 2016-08-01 2016-09-27 57
"127" 290360 "Chikurachki" 22153 "Confirmed Eruption" NA "2" 2016 7 27 "Historical Observations" 2016 8 18 50.324 155.461 2016-07-27 2016-08-18 22
"128" 343100 "San Miguel" 22154 "Confirmed Eruption" NA "1" 2016 6 18 "Historical Observations" 2016 6 18 13.434 -88.269 2016-06-18 2016-06-18 0
"129" 273010 "Bulusan" 22151 "Confirmed Eruption" "SE vent" "2" 2016 6 10 "Historical Observations" 2017 3 2 12.769 124.056 2016-06-10 2017-03-02 265
"130" 345040 "Poas" 22156 "Confirmed Eruption" NA "1" 2016 6 5 "Historical Observations" 2016 8 16 10.2 -84.233 2016-06-05 2016-08-16 72
"131" 233020 "Fournaise, Piton de la" 22144 "Confirmed Eruption" "Château Fort crater" "0" 2016 5 26 "Historical Observations" 2016 5 27 -21.244 55.708 2016-05-26 2016-05-27 1
"132" 241040 "Whakaari/White Island" 22121 "Confirmed Eruption" NA "1" 2016 4 27 "Historical Observations" 2016 4 27 -37.52 177.18 2016-04-27 2016-04-27 0
"133" 390080 "Bristol Island" 22133 "Confirmed Eruption" NA "1" 2016 4 24 "Historical Observations" 2016 7 19 -59.017 -26.533 2016-04-24 2016-07-19 86
"134" 344020 "San Cristobal" 22130 "Confirmed Eruption" NA "2" 2016 4 22 "Historical Observations" 2016 4 22 12.702 -87.004 2016-04-22 2016-04-22 0
"135" 311240 "Cleveland" 22128 "Confirmed Eruption" "Summit crater" "2" 2016 4 16 "Historical Observations" 2019 1 16 52.825 -169.944 2016-04-16 2019-01-16 1005
"136" 252010 "Langila" 22123 "Confirmed Eruption" NA "2" 2016 4 2 "Historical Observations" 2018 10 30 -5.525 148.42 2016-04-02 2018-10-30 941
"137" 261170 "Kerinci" 22125 "Confirmed Eruption" NA "2" 2016 3 31 "Historical Observations" 2016 6 9 -1.697 101.264 2016-03-31 2016-06-09 70
"138" 390130 "Zavodovski" 22159 "Confirmed Eruption" NA "1" 2016 3 30 "Historical Observations" 2016 5 16 -56.3 -27.57 2016-03-30 2016-05-16 47
