"volcano_number" "volcano_name" "region" "subregion" "country" "latitude" "longitude" "tectonic_settings" "primary_volcano_type" "elevation" "last_eruption_year" "years_ago" "evidence_category" "population_within_5_km" "population_within_10_km" "population_within_30_km" "population_within_100_km" "major_rock_1" "major_rock_2" "major_rock_3" "major_rock_4" "major_rock_5" "minor_rock_1" "minor_rock_2" "minor_rock_3" "minor_rock_4" "minor_rock_5"
"62" 266070 "Tondano Caldera" "Indonesia" "Sulawesi" "Indonesia" 1.23 124.83 "Subduction zone / Continental crust (>25 km)" "Caldera" 1202 NA NA "Unrest / Holocene" 321308 321308 903706 1558655 "Andesite / Basaltic Andesite" " " " " " " " " " " " " " " " " " "
"63" 264060 "Sano, Wai" "Indonesia" "Lesser Sunda Islands" "Indonesia" -8.724 119.986 "Subduction zone / Continental crust (>25 km)" "Caldera" 1319 NA NA "Evidence Credible" 127347 127347 242184 831863 "Dacite" " " " " " " " " " " " " " " " " " "
"64" 312020 "Emmons Lake" "Alaska" "Alaska Peninsula" "United States" 55.341 -162.073 "Subduction zone / Continental crust (>25 km)" "Caldera" 1436 NA NA "Evidence Credible" 0 0 686 1199 "Andesite / Basaltic Andesite" "Basalt / Picro-Basalt" "Rhyolite" " " " " " " " " " " " " " "
"65" 261260 "Sekincau Belirang" "Indonesia" "Sumatra" "Indonesia" -5.107 104.317 "Subduction zone / Continental crust (>25 km)" "Caldera" 1717 NA NA "Unrest / Holocene" 176 2238 18911 2336471 "Andesite / Basaltic Andesite" "Rhyolite" "Dacite" " " " " " " " " " " " " " "
"66" 261251 "Ranau" "Indonesia" "Sumatra" "Indonesia" -4.871 103.925 "Subduction zone / Continental crust (>25 km)" "Caldera" 1854 NA NA "Evidence Uncertain" 12275 12275 21279 939197 "Dacite" "Andesite / Basaltic Andesite" " " " " " " " " " " " " " " " "
"67" 221230 "Gedamsa" "Africa and Red Sea" "Africa (northeastern) and Red Sea" "Ethiopia" 8.357 39.188 "Rift zone / Continental crust (>25 km)" "Caldera" 1873 NA NA "Evidence Credible" 216008 216008 744211 8000105 "Rhyolite" "Trachyte / Trachydacite" " " " " " " "Basalt / Picro-Basalt" " " " " " " " "
"68" 221280 "O'a Caldera" "Africa and Red Sea" "Africa (northeastern) and Red Sea" "Ethiopia" 7.47 38.58 "Rift zone / Continental crust (>25 km)" "Caldera" 2075 NA NA "Evidence Credible" 148588 148588 477361 8808566 "Rhyolite" "Trachyte / Trachydacite" " " " " " " "Basalt / Picro-Basalt" " " " " " " " "
"69" 261090 "Toba" "Indonesia" "Sumatra" "Indonesia" 2.58 98.83 "Subduction zone / Continental crust (>25 km)" "Caldera" 2157 NA NA "Evidence Credible" 125908 125908 168995 3437177 "Dacite" "Rhyolite" "Trachyandesite / Basaltic Trachyandesite" "Andesite / Basaltic Andesite" " " " " " " " " " " " "
"70" 264001 "Buyan-Bratan" "Indonesia" "Lesser Sunda Islands" "Indonesia" -8.283 115.133 "Subduction zone / Continental crust (>25 km)" "Caldera" 2244 NA NA "Evidence Credible" 333333 333333 935879 4355947 "Andesite / Basaltic Andesite" "Basalt / Picro-Basalt" " " " " " " " " " " " " " " " "
"71" 221290 "Corbetti Caldera" "Africa and Red Sea" "Africa (northeastern) and Red Sea" "Ethiopia" 7.193 38.39 "Rift zone / Continental crust (>25 km)" "Caldera" 2320 NA NA "Evidence Credible" 565206 565206 1171948 9794061 "Rhyolite" "Basalt / Picro-Basalt" " " " " " " " " " " " " " " " "
